-0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000
-0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000 -0.0000000
0.0000354 0.0001013 0.0000647 0.0001034 0.0000012 0.0000129 0.0000012 -0.0000321 0.0013109 -0.0013809 -0.0000032 0.0000479 0.0000232 -0.0000222 -0.0000492 0.0001238 -0.0000604 0.0000871 -0.0000355 0.0000535 -0.0000022 0.0000178 -0.0000597 0.0000665 0.0000287 0.0000985 0.0000302 0.0000922 0.0000522 0.0001324 0.0000004 0.0000691 -0.0000127 0.0000327 0.0000249 0.0002400 0.0000263 0.0001257 0.0000297 0.0001587
0.0000242 0.0001511 0.0000281 0.0001690 0.0000069 0.0001558 0.0000091 0.0000820 0.0008865 -0.0024096 0.0000017 0.0001970 0.0000279 -0.0001226 -0.0000087 0.0002113 -0.0000162 0.0001403 0.0000077 0.0001939 -0.0000201 0.0000383 -0.0001031 0.0000675 0.0000225 0.0001998 0.0000452 0.0002334 0.0000099 0.0003500 -0.0000063 0.0001773 -0.0000432 0.0000722 0.0000155 0.0004008 0.0000216 0.0002696 0.0000261 0.0002933
0.0000181 0.0003155 0.0000349 0.0003040 -0.0000231 0.0002673 -0.0000304 0.0001151 0.0000771 -0.0012285 -0.0000266 0.0003227 -0.0001203 -0.0001211 0.0000064 0.0000281 0.0001168 0.0001496 -0.0000015 0.0003602 -0.0000203 0.0001339 -0.0001102 0.0000777 0.0000082 0.0003881 0.0000560 0.0003618 -0.0000631 0.0004887 -0.0000298 0.0002856 -0.0001267 0.0001413 -0.0001175 0.0003960 -0.0000067 0.0003628 -0.0000317 0.0002305
0.0001037 0.0005417 0.0000926 0.0004269 -0.0000920 0.0001798 -0.0001085 -0.0000758 0.0003812 -0.0005541 -0.0000978 0.0002266 -0.0001321 -0.0000643 -0.0000016 0.0002951 0.0001826 0.0001719 -0.0000449 0.0002271 -0.0000048 0.0001149 -0.0001726 -0.0000315 -0.0000058 0.0003593 0.0000569 0.0001874 -0.0001368 0.0001317 -0.0000389 0.0001896 -0.0001464 0.0001413 -0.0002998 -0.0001388 -0.0000421 0.0000973 -0.0000989 -0.0001688
0.0001625 0.0004975 0.0000595 0.0003607 -0.0001230 -0.0001208 -0.0001305 -0.0003751 0.0010956 -0.0014443 -0.0001226 -0.0000641 -0.0000121 -0.0001030 0.0001508 0.0001796 0.0001063 -0.0000450 0.0000083 -0.0003029 0.0000142 -0.0000368 -0.0000910 -0.0002122 -0.0000038 -0.0000196 0.0000673 -0.0000713 -0.0000643 -0.0004656 -0.0000161 -0.0001082 -0.0000759 0.0000046 -0.0002920 -0.0008170 -0.0000297 -0.0002803 -0.0000760 -0.0004657
0.0001121 0.0002108 0.0000132 0.0000917 -0.0000883 -0.0002913 -0.0000855 -0.0004606 0.0011006 -0.0023388 -0.0000883 -0.0001608 -0.0002373 0.0001128 0.0002443 -0.0001865 0.0000339 -0.0001498 0.0000075 -0.0004607 0.0000313 -0.0000370 0.0000634 -0.0001053 0.0000402 -0.0000975 0.0000878 -0.0000283 0.0000444 -0.0004886 0.0000084 -0.0001242 -0.0000428 0.0000246 -0.0001985 -0.0006870 0.0000056 -0.0002368 -0.0000092 -0.0003423
0.0000826 0.0001840 0.0000402 0.0000694 -0.0000485 -0.0001622 -0.0000403 -0.0002798 0.0009940 -0.0019498 -0.0000532 -0.0000472 -0.0002538 0.0004046 0.0001698 -0.0000423 0.0000383 -0.0000999 -0.0000122 -0.0003309 0.0000260 0.0000281 0.0001195 -0.0000208 0.0000714 0.0000962 0.0000815 0.0000736 0.0000621 -0.0001928 0.0000187 0.0000650 -0.0000226 0.0001057 -0.0001379 -0.0003328 0.0000060 -0.0000710 0.0000208 -0.0001765
0.0000856 0.0003244 0.0001065 0.0002289 -0.0000459 0.0000509 -0.0000140 -0.0000317 -0.0002221 -0.0005354 -0.0000273 0.0001301 -0.0001172 0.0001768 -0.0000745 0.0002759 0.0000302 -0.0000223 -0.0000399 -0.0001831 0.0000042 0.0000918 0.0000033 -0.0000548 0.0000767 0.0003166 0.0000251 0.0001702 0.0000250 0.0001059 0.0000177 0.0002503 -0.0000038 0.0001824 -0.0000844 0.0000197 -0.0000140 0.0001094 0.0000247 0.0000449
