index,timestamp,static_object_0,static_object_1,motor_0_vibrate_software,motor_1_vibrate_software,pos0,button0,shadow_delta0,pos1,button1,shadow_delta1
0,0.0,122,422,0,0,579.375,0,150.0,300.0,0,150.0
1,0.0016031070008466486,122,422,0,0,579.375,0,150.0,300.0,0,150.0
2,0.0038113530008558882,122,422,0,0,579.375,0,150.0,300.0,0,150.0
3,0.00600506200134987,122,422,0,0,579.375,0,150.0,300.0,0,150.0
4,0.008163383001374314,122,422,0,0,579.375,0,150.0,300.0,0,150.0
5,0.010379240000474965,122,422,0,0,579.375,0,150.0,300.0,0,150.0
6,0.011566760000278009,122,422,0,0,579.375,0,150.0,300.0,0,150.0
7,0.01319119999971008,122,422,0,0,579.375,0,150.0,300.0,0,150.0
8,0.014394478999747662,122,422,0,0,579.375,0,150.0,300.0,0,150.0
9,0.01550448200032406,122,422,0,0,579.375,0,150.0,300.0,0,150.0
10,0.0166760020001675,122,422,0,0,579.375,0,150.0,300.0,0,150.0
11,0.018853452000257676,122,422,0,0,579.375,0,150.0,300.0,0,150.0
12,0.019961881000199355,122,422,0,0,579.375,0,150.0,300.0,0,150.0
13,0.021122550000654883,122,422,0,0,579.375,0,150.0,300.0,0,150.0
14,0.023405758000080823,122,422,0,0,579.375,0,150.0,300.0,0,150.0
15,0.024580482000601478,122,422,0,0,579.375,0,150.0,300.0,0,150.0
16,0.025789612000153284,122,422,0,0,579.375,0,150.0,300.0,0,150.0
17,0.026892892999967444,122,422,0,0,579.375,0,150.0,300.0,0,150.0
18,0.027993192001304124,122,422,0,0,579.375,0,150.0,300.0,0,150.0
19,0.029188841999712167,122,422,0,0,579.375,0,150.0,300.0,0,150.0
20,0.030404380000618403,122,422,0,0,579.375,0,150.0,300.0,0,150.0
21,0.03157597400058876,122,422,0,0,579.375,0,150.0,300.0,0,150.0
22,0.0327233839998371,122,422,0,0,579.375,0,150.0,300.0,0,150.0
23,0.03383997899982205,122,422,0,0,579.375,0,150.0,300.0,0,150.0
24,0.0349498150008003,122,422,0,0,579.375,0,150.0,300.0,0,150.0
25,0.03611409400036791,122,422,0,0,579.375,0,150.0,300.0,0,150.0
26,0.03722070799994981,122,422,0,0,579.375,0,150.0,300.0,0,150.0
27,0.0383334329999343,122,422,0,0,579.375,0,150.0,300.0,0,150.0
28,0.03946586100028071,122,422,0,0,579.375,0,150.0,300.0,0,150.0
29,0.04058775300109119,122,422,0,0,579.375,0,150.0,300.0,0,150.0
30,0.04170471799989173,122,422,0,0,579.375,0,150.0,300.0,0,150.0
31,0.0428357020009571,122,422,0,0,579.375,0,150.0,300.0,0,150.0
32,0.0451192060008907,122,422,0,0,579.375,0,150.0,300.0,0,150.0
33,0.0468453480007156,122,422,0,0,579.375,0,150.0,300.0,0,150.0
34,0.048988762000590214,122,422,0,0,579.375,0,150.0,300.0,0,150.0
35,0.05050931400000991,122,422,0,0,579.375,0,150.0,300.0,0,150.0
36,0.05184496200126887,122,422,0,0,579.375,0,150.0,300.0,0,150.0
37,0.05301555600090069,122,422,0,0,579.375,0,150.0,300.0,0,150.0
38,0.05416222500025469,122,422,0,0,579.375,0,150.0,300.0,0,150.0
39,0.05542494800101849,122,422,0,0,579.375,0,150.0,300.0,0,150.0
40,0.056551080000645015,122,422,0,0,579.375,0,150.0,300.0,0,150.0
41,0.05874682600006054,122,422,0,0,579.375,0,150.0,300.0,0,150.0
42,0.06072515000050771,122,422,0,0,579.375,0,150.0,300.0,0,150.0
43,0.06269630700080597,122,422,0,0,579.375,0,150.0,300.0,0,150.0
44,0.06477612900016538,122,422,0,0,579.375,0,150.0,300.0,0,150.0
45,0.0667407490000187,122,422,0,0,579.375,0,150.0,300.0,0,150.0
46,0.06871994300126971,122,422,0,0,579.375,0,150.0,300.0,0,150.0
47,0.07068956300099671,122,422,0,0,579.375,0,150.0,300.0,0,150.0
48,0.07266251600049145,122,422,0,0,579.375,0,150.0,300.0,0,150.0
49,0.07460372900095535,122,422,0,0,579.375,0,150.0,300.0,0,150.0
50,0.07651401700059068,122,422,0,0,579.375,0,150.0,300.0,0,150.0
51,0.07839387900094152,122,422,0,0,579.375,0,150.0,300.0,0,150.0
52,0.08035422100147116,122,422,0,0,579.375,0,150.0,300.0,0,150.0
53,0.08228269299979729,122,422,0,0,579.375,0,150.0,300.0,0,150.0
54,0.08419957300066017,122,422,0,0,579.375,0,150.0,300.0,0,150.0
55,0.08615191600074468,122,422,0,0,579.375,0,150.0,300.0,0,150.0
56,0.08809059200029878,122,422,0,0,579.375,0,150.0,300.0,0,150.0
57,0.09003256400137616,122,422,0,0,579.375,0,150.0,300.0,0,150.0
58,0.09198033200118516,122,422,0,0,579.375,0,150.0,300.0,0,150.0
59,0.09389112000098976,122,422,0,0,579.375,0,150.0,300.0,0,150.0
60,0.09574859300118987,122,422,0,0,579.375,0,150.0,300.0,0,150.0
61,0.09768523200000345,122,422,0,0,579.375,0,150.0,300.0,0,150.0
62,0.09960753800078237,122,422,0,0,579.375,0,150.0,300.0,0,150.0
63,0.10153315900060988,122,422,0,0,579.375,0,150.0,300.0,0,150.0
64,0.10346816800119996,122,422,0,0,579.375,0,150.0,300.0,0,150.0
65,0.10544225100056792,122,422,0,0,579.375,0,150.0,300.0,0,150.0
66,0.10743218600146065,122,422,0,0,579.375,0,150.0,300.0,0,150.0
67,0.10938486099985312,122,422,0,0,579.375,0,150.0,300.0,0,150.0
68,0.11131720400044287,122,422,0,0,579.375,0,150.0,300.0,0,150.0
69,0.11381329800133244,122,422,0,0,579.375,0,150.0,300.0,0,150.0
70,0.11504407699976582,122,422,0,0,579.375,0,150.0,300.0,0,150.0
71,0.11709521400007361,122,422,0,0,579.375,0,150.0,300.0,0,150.0
72,0.11904011200022069,122,422,0,0,579.375,0,150.0,300.0,0,150.0
73,0.12102276900077413,122,422,0,0,579.375,0,150.0,300.0,0,150.0
74,0.12296566700024414,122,422,0,0,579.375,0,150.0,300.0,0,150.0
75,0.12494758300090325,122,422,0,0,579.375,0,150.0,300.0,0,150.0
76,0.12689166700147325,122,422,0,0,579.375,0,150.0,300.0,0,150.0
77,0.12890787800097314,122,422,0,0,579.375,0,150.0,300.0,0,150.0
78,0.1308476280009927,122,422,0,0,579.375,0,150.0,300.0,0,150.0
79,0.13271793500098283,122,422,0,0,579.375,0,150.0,300.0,0,150.0
80,0.13453496500005713,122,422,0,0,579.375,0,150.0,300.0,0,150.0
81,0.1363842709997698,122,422,0,0,579.375,0,150.0,300.0,0,150.0
82,0.1381738010004483,122,422,0,0,579.375,0,150.0,300.0,0,150.0
83,0.13994686899968656,122,422,0,0,579.375,0,150.0,300.0,0,150.0
84,0.14172364000114612,122,422,0,0,579.375,0,150.0,300.0,0,150.0
85,0.14360777900037647,122,422,0,0,579.375,0,150.0,300.0,0,150.0
86,0.14547423400108528,122,422,0,0,579.375,0,150.0,300.0,0,150.0
87,0.14733148500090465,122,422,0,0,579.375,0,150.0,300.0,0,150.0
88,0.1492073290010012,122,422,0,0,579.375,0,150.0,300.0,0,150.0
89,0.15116420800040942,122,422,0,0,579.375,0,150.0,300.0,0,150.0
